+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                           ;
+---------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                       ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; U0|mm_interconnect_0|avalon_st_adapter_001                                      ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|avalon_st_adapter|error_adapter_0                          ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|avalon_st_adapter                                          ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_mux_001|arb|adder                                      ; 8     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_mux_001|arb                                            ; 6     ; 0              ; 4            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_mux_001                                                ; 191   ; 0              ; 0            ; 0              ; 96     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_mux|arb|adder                                          ; 12    ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_mux|arb                                                ; 7     ; 0              ; 4            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_mux                                                    ; 285   ; 0              ; 0            ; 0              ; 97     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_demux_002                                              ; 98    ; 4              ; 2            ; 4              ; 189    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_demux_001                                              ; 98    ; 4              ; 2            ; 4              ; 189    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_demux                                                  ; 97    ; 1              ; 2            ; 1              ; 95     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|cmd_mux_002|arb|adder                                      ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|cmd_mux_002|arb                                            ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|cmd_mux_002                                                ; 191   ; 0              ; 0            ; 0              ; 96     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|cmd_mux_001|arb|adder                                      ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|cmd_mux_001|arb                                            ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|cmd_mux_001                                                ; 191   ; 0              ; 0            ; 0              ; 96     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|cmd_mux                                                    ; 97    ; 0              ; 2            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|cmd_demux_001                                              ; 100   ; 4              ; 3            ; 4              ; 189    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|cmd_demux                                                  ; 101   ; 9              ; 2            ; 9              ; 283    ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|nios2_qsys_0_instruction_master_limiter                    ; 192   ; 0              ; 0            ; 0              ; 192    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|nios2_qsys_0_data_master_limiter                           ; 192   ; 0              ; 0            ; 0              ; 192    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|router_004|the_default_decode                              ; 0     ; 3              ; 0            ; 3              ; 3      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|router_004                                                 ; 94    ; 0              ; 2            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|router_003|the_default_decode                              ; 0     ; 3              ; 0            ; 3              ; 3      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|router_003                                                 ; 94    ; 0              ; 2            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|router_002|the_default_decode                              ; 0     ; 3              ; 0            ; 3              ; 3      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|router_002                                                 ; 94    ; 0              ; 2            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|router_001|the_default_decode                              ; 0     ; 5              ; 0            ; 5              ; 5      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|router_001                                                 ; 94    ; 0              ; 4            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|router|the_default_decode                                  ; 0     ; 5              ; 0            ; 5              ; 5      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|router                                                     ; 94    ; 0              ; 4            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|onchip_memory2_0_s1_agent_rsp_fifo                         ; 134   ; 39             ; 0            ; 39             ; 93     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|onchip_memory2_0_s1_agent|uncompressor                     ; 30    ; 1              ; 0            ; 1              ; 28     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|onchip_memory2_0_s1_agent                                  ; 264   ; 39             ; 40           ; 39             ; 278    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|nios2_qsys_0_jtag_debug_module_agent_rsp_fifo              ; 134   ; 39             ; 0            ; 39             ; 93     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|nios2_qsys_0_jtag_debug_module_agent|uncompressor          ; 30    ; 1              ; 0            ; 1              ; 28     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|nios2_qsys_0_jtag_debug_module_agent                       ; 264   ; 39             ; 40           ; 39             ; 278    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|reg32_avalon_interface_0_avalon_slave_0_agent_rsp_fifo     ; 134   ; 39             ; 0            ; 39             ; 93     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|reg32_avalon_interface_0_avalon_slave_0_agent|uncompressor ; 30    ; 1              ; 0            ; 1              ; 28     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|reg32_avalon_interface_0_avalon_slave_0_agent              ; 264   ; 39             ; 40           ; 39             ; 278    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|nios2_qsys_0_instruction_master_agent                      ; 154   ; 35             ; 63           ; 35             ; 126    ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|nios2_qsys_0_data_master_agent                             ; 154   ; 35             ; 63           ; 35             ; 126    ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|onchip_memory2_0_s1_translator                             ; 97    ; 7              ; 4            ; 7              ; 83     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|nios2_qsys_0_jtag_debug_module_translator                  ; 97    ; 5              ; 5            ; 5              ; 82     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|reg32_avalon_interface_0_avalon_slave_0_translator         ; 97    ; 6              ; 13           ; 6              ; 73     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|nios2_qsys_0_instruction_master_translator                 ; 98    ; 51             ; 2            ; 51             ; 91     ; 51              ; 51            ; 51              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|nios2_qsys_0_data_master_translator                        ; 98    ; 12             ; 2            ; 12             ; 91     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0                                                            ; 168   ; 0              ; 0            ; 0              ; 204    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|reg32_avalon_interface_0|U1                                                  ; 38    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|reg32_avalon_interface_0                                                     ; 41    ; 0              ; 1            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|onchip_memory2_0|the_altsyncram|auto_generated                               ; 49    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|onchip_memory2_0                                                             ; 53    ; 1              ; 1            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|nios2_qsys_0                                                                 ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0                                                                              ; 2     ; 8              ; 0            ; 8              ; 32     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+---------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
